"Показник","Територіальний розріз","Період","Значення cпостереження"
"Середній вік населення станом на 1 січня","Вінницька","2018","41.5"
"Середній вік населення станом на 1 січня","Вінницька","2019","41.7"
"Середній вік населення станом на 1 січня","Вінницька","2020","41.9"
"Середній вік населення станом на 1 січня","Вінницька","2021","42.1"
"Середній вік населення станом на 1 січня","Вінницька","2022","42.2"
"Середній вік населення станом на 1 січня","Волинська","2003","39.1"
"Середній вік населення станом на 1 січня","Волинська","2004","39.3"
"Середній вік населення станом на 1 січня","Волинська","2005","39.4"
"Середній вік населення станом на 1 січня","Волинська","2006","39.5"
"Середній вік населення станом на 1 січня","Волинська","2007","39.6"
"Середній вік населення станом на 1 січня","Волинська","2008","39.7"
"Середній вік населення станом на 1 січня","Волинська","2009","39.7"
"Середній вік населення станом на 1 січня","Волинська","2010","39.7"
"Середній вік населення станом на 1 січня","Волинська","2011","39.7"
"Середній вік населення станом на 1 січня","Волинська","2012","39.8"
"Середній вік населення станом на 1 січня","Волинська","2013","39.8"
"Середній вік населення станом на 1 січня","Волинська","2014","39.8"
"Середній вік населення станом на 1 січня","Волинська","2015","39.9"
"Середній вік населення станом на 1 січня","Волинська","2016","40"
"Середній вік населення станом на 1 січня","Волинська","2017","40.1"
"Середній вік населення станом на 1 січня","Волинська","2018","40.2"
"Середній вік населення станом на 1 січня","Волинська","2019","40.3"
"Середній вік населення станом на 1 січня","Волинська","2020","40.5"
"Середній вік населення станом на 1 січня","Волинська","2021","40.7"
"Середній вік населення станом на 1 січня","Волинська","2022","40.8"
"Середній вік населення станом на 1 січня","Волинська","2003","34.3"
"Середній вік населення станом на 1 січня","Волинська","2004","34.5"
"Середній вік населення станом на 1 січня","Волинська","2005","34.6"
"Середній вік населення станом на 1 січня","Волинська","2006","34.6"
"Середній вік населення станом на 1 січня","Волинська","2007","34.7"
"Середній вік населення станом на 1 січня","Волинська","2008","34.7"
"Середній вік населення станом на 1 січня","Волинська","2009","34.7"
"Середній вік населення станом на 1 січня","Волинська","2010","34.7"
"Середній вік населення станом на 1 січня","Волинська","2011","34.7"
"Середній вік населення станом на 1 січня","Волинська","2012","34.8"
"Середній вік населення станом на 1 січня","Волинська","2013","34.8"
"Середній вік населення станом на 1 січня","Волинська","2014","34.9"
"Середній вік населення станом на 1 січня","Волинська","2015","34.9"
"Середній вік населення станом на 1 січня","Волинська","2016","35"
"Середній вік населення станом на 1 січня","Волинська","2017","35.2"
"Середній вік населення станом на 1 січня","Волинська","2018","35.3"
"Середній вік населення станом на 1 січня","Волинська","2019","35.5"
"Середній вік населення станом на 1 січня","Волинська","2020","35.7"
"Середній вік населення станом на 1 січня","Волинська","2021","35.9"
"Середній вік населення станом на 1 січня","Волинська","2022","36"
"Середній вік населення станом на 1 січня","Волинська","2003","36.9"
"Середній вік населення станом на 1 січня","Волинська","2004","37"
"Середній вік населення станом на 1 січня","Волинська","2005","37.1"
"Середній вік населення станом на 1 січня","Волинська","2006","37.2"
"Середній вік населення станом на 1 січня","Волинська","2007","37.3"
"Середній вік населення станом на 1 січня","Волинська","2008","37.3"
"Середній вік населення станом на 1 січня","Волинська","2009","37.3"
"Середній вік населення станом на 1 січня","Волинська","2010","37.4"
"Середній вік населення станом на 1 січня","Волинська","2011","37.4"
"Середній вік населення станом на 1 січня","Волинська","2012","37.4"
"Середній вік населення станом на 1 січня","Волинська","2013","37.5"
"Середній вік населення станом на 1 січня","Волинська","2014","37.5"
"Середній вік населення станом на 1 січня","Волинська","2015","37.5"
"Середній вік населення станом на 1 січня","Волинська","2016","37.6"
"Середній вік населення станом на 1 січня","Волинська","2017","37.7"
"Середній вік населення станом на 1 січня","Волинська","2018","37.9"
"Середній вік населення станом на 1 січня","Волинська","2019","38"
"Середній вік населення станом на 1 січня","Волинська","2020","38.2"
"Середній вік населення станом на 1 січня","Волинська","2021","38.4"
"Середній вік населення станом на 1 січня","Волинська","2022","38.5"
"Середній вік населення станом на 1 січня","Дніпропетровська","2003","41.8"
"Середній вік населення станом на 1 січня","Дніпропетровська","2004","42"
"Середній вік населення станом на 1 січня","Дніпропетровська","2005","42.2"
"Середній вік населення станом на 1 січня","Дніпропетровська","2006","42.4"
"Середній вік населення станом на 1 січня","Дніпропетровська","2007","42.6"
"Середній вік населення станом на 1 січня","Дніпропетровська","2008","42.8"
"Середній вік населення станом на 1 січня","Дніпропетровська","2009","42.9"
"Середній вік населення станом на 1 січня","Дніпропетровська","2010","43"
"Середній вік населення станом на 1 січня","Дніпропетровська","2011","43.2"
"Середній вік населення станом на 1 січня","Дніпропетровська","2012","43.3"
"Середній вік населення станом на 1 січня","Дніпропетровська","2013","43.4"
"Середній вік населення станом на 1 січня","Дніпропетровська","2014","43.6"
"Середній вік населення станом на 1 січня","Дніпропетровська","2015","43.7"
"Середній вік населення станом на 1 січня","Дніпропетровська","2016","43.8"
"Середній вік населення станом на 1 січня","Дніпропетровська","2017","44"
"Середній вік населення станом на 1 січня","Дніпропетровська","2018","44.2"
"Середній вік населення станом на 1 січня","Дніпропетровська","2019","44.4"
"Середній вік населення станом на 1 січня","Дніпропетровська","2020","44.7"
"Середній вік населення станом на 1 січня","Дніпропетровська","2021","44.9"
"Середній вік населення станом на 1 січня","Дніпропетровська","2022","45"
"Середній вік населення станом на 1 січня","Дніпропетровська","2003","36.9"
"Середній вік населення станом на 1 січня","Дніпропетровська","2004","37"
"Середній вік населення станом на 1 січня","Дніпропетровська","2005","37.2"
"Середній вік населення станом на 1 січня","Дніпропетровська","2006","37.3"
"Середній вік населення станом на 1 січня","Дніпропетровська","2007","37.5"
"Середній вік населення станом на 1 січня","Дніпропетровська","2008","37.5"
"Середній вік населення станом на 1 січня","Дніпропетровська","2009","37.6"
"Середній вік населення станом на 1 січня","Дніпропетровська","2010","37.7"
"Середній вік населення станом на 1 січня","Дніпропетровська","2011","37.8"
"Середній вік населення станом на 1 січня","Дніпропетровська","2012","37.8"
"Середній вік населення станом на 1 січня","Дніпропетровська","2013","37.9"
"Середній вік населення станом на 1 січня","Дніпропетровська","2014","38"
"Середній вік населення станом на 1 січня","Дніпропетровська","2015","38"
"Середній вік населення станом на 1 січня","Дніпропетровська","2016","38.1"
"Середній вік населення станом на 1 січня","Дніпропетровська","2017","38.2"
"Середній вік населення станом на 1 січня","Дніпропетровська","2018","38.4"
"Середній вік населення станом на 1 січня","Дніпропетровська","2019","38.6"
"Середній вік населення станом на 1 січня","Дніпропетровська","2020","38.8"
"Середній вік населення станом на 1 січня","Дніпропетровська","2021","39"
"Середній вік населення станом на 1 січня","Дніпропетровська","2022","39.1"
"Середній вік населення станом на 1 січня","Дніпропетровська","2003","39.5"
"Середній вік населення станом на 1 січня","Дніпропетровська","2004","39.7"
"Середній вік населення станом на 1 січня","Дніпропетровська","2005","39.9"
"Середній вік населення станом на 1 січня","Дніпропетровська","2006","40.1"
"Середній вік населення станом на 1 січня","Дніпропетровська","2007","40.2"
"Середній вік населення станом на 1 січня","Дніпропетровська","2008","40.4"
"Середній вік населення станом на 1 січня","Дніпропетровська","2009","40.5"
"Середній вік населення станом на 1 січня","Дніпропетровська","2010","40.6"
"Середній вік населення станом на 1 січня","Дніпропетровська","2011","40.7"
"Середній вік населення станом на 1 січня","Дніпропетровська","2012","40.8"
"Середній вік населення станом на 1 січня","Дніпропетровська","2013","40.9"
"Середній вік населення станом на 1 січня","Дніпропетровська","2014","41"
"Середній вік населення станом на 1 січня","Дніпропетровська","2015","41.1"
"Середній вік населення станом на 1 січня","Дніпропетровська","2016","41.2"
"Середній вік населення станом на 1 січня","Дніпропетровська","2017","41.3"
"Середній вік населення станом на 1 січня","Дніпропетровська","2018","41.6"
"Середній вік населення станом на 1 січня","Дніпропетровська","2019","41.8"
"Середній вік населення станом на 1 січня","Дніпропетровська","2020","42"
"Середній вік населення станом на 1 січня","Дніпропетровська","2021","42.2"
"Середній вік населення станом на 1 січня","Дніпропетровська","2022","42.3"
"Середній вік населення станом на 1 січня","Донецька","2003","42.7"
"Середній вік населення станом на 1 січня","Донецька","2004","42.9"
"Середній вік населення станом на 1 січня","Донецька","2005","43.2"
"Середній вік населення станом на 1 січня","Донецька","2006","43.5"
"Середній вік населення станом на 1 січня","Донецька","2007","43.7"
"Середній вік населення станом на 1 січня","Донецька","2008","43.9"
"Середній вік населення станом на 1 січня","Донецька","2009","44.1"
"Середній вік населення станом на 1 січня","Донецька","2010","44.3"
"Середній вік населення станом на 1 січня","Донецька","2011","44.5"
"Середній вік населення станом на 1 січня","Донецька","2012","44.7"
"Середній вік населення станом на 1 січня","Донецька","2013","44.8"
"Середній вік населення станом на 1 січня","Донецька","2014","45"
"Середній вік населення станом на 1 січня","Донецька","2015","45.3"
"Середній вік населення станом на 1 січня","Донецька","2016","45.9"
"Середній вік населення станом на 1 січня","Донецька","2017","46.4"
"Середній вік населення станом на 1 січня","Донецька","2018","47.1"
"Середній вік населення станом на 1 січня","Донецька","2019","47.7"
"Середній вік населення станом на 1 січня","Донецька","2020","48.3"
"Середній вік населення станом на 1 січня","Донецька","2021","48.9"
"Середній вік населення станом на 1 січня","Донецька","2022","49.4"
"Середній вік населення станом на 1 січня","Донецька","2003","37.8"
"Середній вік населення станом на 1 січня","Донецька","2004","38"
"Середній вік населення станом на 1 січня","Донецька","2005","38.2"
"Середній вік населення станом на 1 січня","Донецька","2006","38.4"
"Середній вік населення станом на 1 січня","Донецька","2007","38.5"
"Середній вік населення станом на 1 січня","Донецька","2008","38.7"
"Середній вік населення станом на 1 січня","Донецька","2009","38.8"
"Середній вік населення станом на 1 січня","Донецька","2010","38.9"
"Середній вік населення станом на 1 січня","Донецька","2011","39.1"
"Середній вік населення станом на 1 січня","Донецька","2012","39.2"
"Середній вік населення станом на 1 січня","Донецька","2013","39.3"
"Середній вік населення станом на 1 січня","Донецька","2014","39.5"
"Середній вік населення станом на 1 січня","Донецька","2015","39.7"
"Середній вік населення станом на 1 січня","Донецька","2016","40.3"
"Середній вік населення станом на 1 січня","Донецька","2017","40.8"
"Середній вік населення станом на 1 січня","Донецька","2018","41.4"
"Середній вік населення станом на 1 січня","Донецька","2019","41.9"
"Середній вік населення станом на 1 січня","Донецька","2020","42.5"
"Середній вік населення станом на 1 січня","Донецька","2021","43.1"
"Середній вік населення станом на 1 січня","Донецька","2022","43.6"
"Середній вік населення станом на 1 січня","Донецька","2003","40.4"
"Середній вік населення станом на 1 січня","Донецька","2004","40.7"
"Середній вік населення станом на 1 січня","Донецька","2005","40.9"
"Середній вік населення станом на 1 січня","Донецька","2006","41.2"
"Середній вік населення станом на 1 січня","Донецька","2007","41.3"
"Середній вік населення станом на 1 січня","Донецька","2008","41.5"
"Середній вік населення станом на 1 січня","Донецька","2009","41.7"
"Середній вік населення станом на 1 січня","Донецька","2010","41.8"
"Середній вік населення станом на 1 січня","Донецька","2011","42"
"Середній вік населення станом на 1 січня","Донецька","2012","42.2"
"Середній вік населення станом на 1 січня","Донецька","2013","42.3"
"Середній вік населення станом на 1 січня","Донецька","2014","42.5"
"Середній вік населення станом на 1 січня","Донецька","2015","42.7"
"Середній вік населення станом на 1 січня","Донецька","2016","43.3"
"Середній вік населення станом на 1 січня","Донецька","2017","43.9"
"Середній вік населення станом на 1 січня","Донецька","2018","44.5"
"Середній вік населення станом на 1 січня","Донецька","2019","45.1"
"Середній вік населення станом на 1 січня","Донецька","2020","45.6"
"Середній вік населення станом на 1 січня","Донецька","2021","46.2"
"Середній вік населення станом на 1 січня","Донецька","2022","46.8"
"Середній вік населення станом на 1 січня","Житомирська","2003","41.8"
"Середній вік населення станом на 1 січня","Житомирська","2004","41.9"
"Середній вік населення станом на 1 січня","Житомирська","2005","42.1"
"Середній вік населення станом на 1 січня","Житомирська","2006","42.2"
"Середній вік населення станом на 1 січня","Житомирська","2007","42.3"
"Середній вік населення станом на 1 січня","Житомирська","2008","42.4"
"Середній вік населення станом на 1 січня","Житомирська","2009","42.5"
"Середній вік населення станом на 1 січня","Житомирська","2010","42.6"
"Середній вік населення станом на 1 січня","Житомирська","2011","42.7"
"Середній вік населення станом на 1 січня","Житомирська","2012","42.7"
"Середній вік населення станом на 1 січня","Житомирська","2013","42.8"
"Середній вік населення станом на 1 січня","Житомирська","2014","42.9"
"Середній вік населення станом на 1 січня","Житомирська","2015","42.9"
"Середній вік населення станом на 1 січня","Житомирська","2016","43"
"Середній вік населення станом на 1 січня","Житомирська","2017","43.1"
"Середній вік населення станом на 1 січня","Житомирська","2018","43.2"
"Середній вік населення станом на 1 січня","Житомирська","2019","43.4"
"Середній вік населення станом на 1 січня","Житомирська","2020","43.6"
"Середній вік населення станом на 1 січня","Житомирська","2021","43.8"
"Середній вік населення станом на 1 січня","Житомирська","2022","43.9"
"Середній вік населення станом на 1 січня","Житомирська","2003","36.4"
"Середній вік населення станом на 1 січня","Житомирська","2004","36.5"
"Середній вік населення станом на 1 січня","Житомирська","2005","36.6"
"Середній вік населення станом на 1 січня","Житомирська","2006","36.7"
"Середній вік населення станом на 1 січня","Житомирська","2007","36.8"
"Середній вік населення станом на 1 січня","Житомирська","2008","36.9"
"Середній вік населення станом на 1 січня","Житомирська","2009","36.9"
"Середній вік населення станом на 1 січня","Житомирська","2010","37"
"Середній вік населення станом на 1 січня","Житомирська","2011","37.1"
"Середній вік населення станом на 1 січня","Житомирська","2012","37.1"
"Середній вік населення станом на 1 січня","Житомирська","2013","37.2"
"Середній вік населення станом на 1 січня","Житомирська","2014","37.3"
"Середній вік населення станом на 1 січня","Житомирська","2015","37.3"
"Середній вік населення станом на 1 січня","Житомирська","2016","37.4"
"Середній вік населення станом на 1 січня","Житомирська","2017","37.5"
"Середній вік населення станом на 1 січня","Житомирська","2018","37.6"
"Середній вік населення станом на 1 січня","Житомирська","2019","37.8"
"Середній вік населення станом на 1 січня","Житомирська","2020","38"
"Середній вік населення станом на 1 січня","Житомирська","2021","38.2"
"Середній вік населення станом на 1 січня","Житомирська","2022","38.3"
"Середній вік населення станом на 1 січня","Житомирська","2003","39.3"
"Середній вік населення станом на 1 січня","Житомирська","2004","39.4"
"Середній вік населення станом на 1 січня","Житомирська","2005","39.6"
"Середній вік населення станом на 1 січня","Житомирська","2006","39.7"
"Середній вік населення станом на 1 січня","Житомирська","2007","39.8"
"Середній вік населення станом на 1 січня","Житомирська","2008","39.9"
"Середній вік населення станом на 1 січня","Житомирська","2009","39.9"
"Середній вік населення станом на 1 січня","Житомирська","2010","40"
"Середній вік населення станом на 1 січня","Житомирська","2011","40.1"
"Середній вік населення станом на 1 січня","Житомирська","2012","40.1"
"Середній вік населення станом на 1 січня","Житомирська","2013","40.2"
"Середній вік населення станом на 1 січня","Житомирська","2014","40.3"
"Середній вік населення станом на 1 січня","Житомирська","2015","40.3"
"Середній вік населення станом на 1 січня","Житомирська","2016","40.4"
"Середній вік населення станом на 1 січня","Житомирська","2017","40.5"
"Середній вік населення станом на 1 січня","Житомирська","2018","40.6"
"Середній вік населення станом на 1 січня","Житомирська","2019","40.8"
"Середній вік населення станом на 1 січня","Житомирська","2020","41"
"Середній вік населення станом на 1 січня","Житомирська","2021","41.2"
"Середній вік населення станом на 1 січня","Житомирська","2022","41.3"
"Середній вік населення станом на 1 січня","Закарпатська","2003","37"
"Середній вік населення станом на 1 січня","Закарпатська","2004","37.2"
"Середній вік населення станом на 1 січня","Закарпатська","2005","37.4"
"Середній вік населення станом на 1 січня","Закарпатська","2006","37.6"
"Середній вік населення станом на 1 січня","Закарпатська","2007","37.8"
"Середній вік населення станом на 1 січня","Закарпатська","2008","37.9"
"Середній вік населення станом на 1 січня","Закарпатська","2009","38"
"Середній вік населення станом на 1 січня","Закарпатська","2010","38.1"
"Середній вік населення станом на 1 січня","Закарпатська","2011","38.2"
"Середній вік населення станом на 1 січня","Закарпатська","2012","38.3"
"Середній вік населення станом на 1 січня","Закарпатська","2013","38.4"
"Середній вік населення станом на 1 січня","Закарпатська","2014","38.5"
"Середній вік населення станом на 1 січня","Закарпатська","2015","38.5"
"Середній вік населення станом на 1 січня","Закарпатська","2016","38.6"
"Середній вік населення станом на 1 січня","Закарпатська","2017","38.8"
"Середній вік населення станом на 1 січня","Закарпатська","2018","38.9"
"Середній вік населення станом на 1 січня","Закарпатська","2019","39.1"
"Середній вік населення станом на 1 січня","Закарпатська","2020","39.3"
"Середній вік населення станом на 1 січня","Закарпатська","2021","39.5"
"Середній вік населення станом на 1 січня","Закарпатська","2022","39.7"
